"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 02:54:19 EDT 2022","Sat Apr 02 02:54:31 EDT 2022","12733","","The Profile page","","The Profile page","GIVEN the profile page THEN the Classes Enrolled In section is displayed","GIVEN the profile page THEN the Classes Enrolled In section is displayed",""
"passed","Sat Apr 02 02:55:27 EDT 2022","Sat Apr 02 02:55:42 EDT 2022","15253","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the setting icon THEN the user can change user name","GIVEN the profile page AND the user clicks the setting icon THEN the user can change user name",""
"passed","Sat Apr 02 02:53:41 EDT 2022","Sat Apr 02 02:53:54 EDT 2022","13009","","The Profile page","","The Profile page","GIVEN the profile page THEN the setting icon is displayed","GIVEN the profile page THEN the setting icon is displayed",""
"passed","Sat Apr 02 02:53:26 EDT 2022","Sat Apr 02 02:53:40 EDT 2022","14663","","The Profile page","","The Profile page","GIVEN the profile page THEN the user's name is displayed","GIVEN the profile page THEN the user's name is displayed",""
"passed","Sat Apr 02 02:54:06 EDT 2022","Sat Apr 02 02:54:18 EDT 2022","12847","","The Profile page","","The Profile page","GIVEN the profile page THEN the Classes Taken section is displayed","GIVEN the profile page THEN the Classes Taken section is displayed",""
"passed","Sat Apr 02 02:53:54 EDT 2022","Sat Apr 02 02:54:05 EDT 2022","11377","","The Profile page","","The Profile page","GIVEN the profile page THEN the Rated Quality section is displayed","GIVEN the profile page THEN the Rated Quality section is displayed",""
"passed","Sat Apr 02 02:56:13 EDT 2022","Sat Apr 02 02:56:31 EDT 2022","17587","","The Profile page","","The Profile page","GIVEN the setting page in the profile screen THEN the user can add classes by clicking the Add button under the Classes Taken section","GIVEN the setting page in the profile screen THEN the user can add classes by clicking the Add button under the Classes Taken section",""
"passed","Sat Apr 02 02:55:59 EDT 2022","Sat Apr 02 02:56:13 EDT 2022","14130","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the setting icon THEN the user can click the Add button under the Classes Taken section","GIVEN the profile page AND the user clicks the setting icon THEN the user can click the Add button under the Classes Taken section",""
"passed","Sat Apr 02 02:55:14 EDT 2022","Sat Apr 02 02:55:27 EDT 2022","12929","","The Profile page","","The Profile page","GIVEN the profile page THEN a search icon is displayed under the Classes Taken section","GIVEN the profile page THEN a search icon is displayed under the Classes Taken section",""
"passed","Sat Apr 02 02:55:42 EDT 2022","Sat Apr 02 02:55:58 EDT 2022","15996","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the setting icon THEN the user can change user's message","GIVEN the profile page AND the user clicks the setting icon THEN the user can change user's message",""
"passed","Sat Apr 02 02:55:00 EDT 2022","Sat Apr 02 02:55:14 EDT 2022","14046","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the dropdown under the Rated Quality section THEN a check mark icon is displayed","GIVEN the profile page AND the user clicks the dropdown under the Rated Quality section THEN a check mark icon is displayed",""
"passed","Sat Apr 02 02:56:31 EDT 2022","Sat Apr 02 02:56:46 EDT 2022","14191","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the setting icon THEN the user can click the Add button under the Classes Enrolled In section","GIVEN the profile page AND the user clicks the setting icon THEN the user can click the Add button under the Classes Enrolled In section",""
"passed","Sat Apr 02 02:54:32 EDT 2022","Sat Apr 02 02:54:44 EDT 2022","12799","","The Profile page","","The Profile page","GIVEN the profile page THEN the Self-Promoted Skills section is displayed","GIVEN the profile page THEN the Self-Promoted Skills section is displayed",""
"passed","Sat Apr 02 02:54:45 EDT 2022","Sat Apr 02 02:54:59 EDT 2022","14446","","The Profile page","","The Profile page","GIVEN the profile page AND the user clicks the dropdown under the Rated Quality section THEN a new quality is displayed","GIVEN the profile page AND the user clicks the dropdown under the Rated Quality section THEN a new quality is displayed",""
"passed","Sat Apr 02 02:56:46 EDT 2022","Sat Apr 02 02:57:03 EDT 2022","17135","","The Profile page","","The Profile page","GIVEN the setting page in the profile screen THEN the user can add classes by clicking the Add button under the Classes Enrolled In section","GIVEN the setting page in the profile screen THEN the user can add classes by clicking the Add button under the Classes Enrolled In section",""
